timestep,q_value_mean,q_value_std,q_value_max,q_value_min,td_error_mean,td_error_std,loss,exploration_rate,learning_rate,episode_reward_mean,episode_length_mean,success_rate,collision_rate
389000,4.66331148147583,0.7237415909767151,6.462902069091797,2.1292777061462402,0.2057129144668579,1.950440526008606,0.0019162186654284596,0.05,0.0002,19.55466493,185.01,0.01,0.0
390000,4.628957271575928,0.6907026171684265,6.390936851501465,2.9918270111083984,0.035444360226392746,0.051698289811611176,0.0017109126783907413,0.05,0.0002,20.02308105,185.73,0.0,0.0
391000,4.630377292633057,0.7282660603523254,6.402371406555176,2.9610493183135986,0.09922681748867035,0.8762223720550537,0.0012570926919579506,0.05,0.0002,20.02308105,185.73,0.0,0.0
392000,4.63751745223999,0.7396249771118164,6.470745086669922,3.00144624710083,0.05063418298959732,0.048826027661561966,0.003315018257126212,0.05,0.0002,20.28933015,205.62,0.01,0.0
393000,4.578237056732178,0.7412323951721191,6.613866329193115,2.967033624649048,0.09118397533893585,0.8638668656349182,0.001197373028844595,0.05,0.0002,20.252048890000005,204.57,0.01,0.0
394000,4.626345634460449,0.7218212485313416,6.474002838134766,1.9975131750106812,0.09284474700689316,0.8497214317321777,0.10456376522779465,0.05,0.0002,20.745743219999998,205.01,0.01,0.0
395000,4.672238826751709,0.7127523422241211,6.470569610595703,2.998307943344116,0.08905308693647385,0.867253303527832,0.0017092109192162752,0.05,0.0002,21.259481480000005,206.39,0.0,0.0
396000,4.712280750274658,0.715543806552887,6.372691631317139,2.928166151046753,0.03887583315372467,0.04371485859155655,0.10701736062765121,0.05,0.0002,21.25861468,210.55,0.0,0.0
397000,4.6558661460876465,0.69623863697052,6.572761058807373,2.9715304374694824,0.2615593671798706,2.153334856033325,0.00219817366451025,0.05,0.0002,21.25861468,210.55,0.0,0.0
398000,4.693575382232666,0.6694692373275757,6.451751232147217,3.078421115875244,0.09676634520292282,0.9234640598297119,0.2085583209991455,0.05,0.0002,21.531376800000004,229.32,0.0,0.0
399000,4.784329891204834,0.7394768595695496,6.4276251792907715,2.1676723957061768,0.03877682983875275,0.048360425978899,0.10862813889980316,0.05,0.0002,22.476062880000004,230.28,0.0,0.0
400000,4.729208946228027,0.7201599478721619,6.428297519683838,1.9953711032867432,0.19699595868587494,1.9496248960494995,0.0033492909278720617,0.05,0.0002,22.443186759999993,231.3,0.01,0.0
401000,4.762507438659668,0.7008974552154541,6.4939727783203125,2.0072877407073975,0.21626043319702148,1.5819201469421387,0.10599275678396225,0.05,0.0002,22.480931639999998,233.19,0.0,0.0
402000,4.692253589630127,0.7363336086273193,6.6985650062561035,3.0972533226013184,0.09231597185134888,0.8733676671981812,0.0012311217142269015,0.05,0.0002,22.534391409999998,223.39,0.01,0.0
403000,4.811924457550049,0.825276255607605,6.534949779510498,1.9774550199508667,0.15238842368125916,1.2476718425750732,0.0012848945334553719,0.05,0.0002,22.534391409999998,223.39,0.0,0.0
404000,4.847822666168213,0.7769854068756104,6.771962642669678,2.767629861831665,0.17526280879974365,1.8927854299545288,0.33626478910446167,0.05,0.0002,22.10314376,229.77,0.01,0.0
405000,4.883567810058594,0.7130709290504456,6.969263076782227,2.998450994491577,0.21205498278141022,1.4818181991577148,0.11282508075237274,0.05,0.0002,22.108807249999995,227.0,0.0,0.0
406000,4.883433818817139,0.7629920840263367,6.823337078094482,2.0400383472442627,0.09450919181108475,0.8228119611740112,0.10171578824520111,0.05,0.0002,22.051719660000003,224.56,0.01,0.0
407000,4.834669589996338,0.7935541272163391,6.948234558105469,2.984086751937866,0.042684074491262436,0.04613008722662926,0.10694995522499084,0.05,0.0002,22.08356067,222.83,0.01,0.0
